Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
TD Power Systems Ltd.,Capital Goods,TDPOWERSYS,EQ,INE419M01027
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
Voltamp Transformers Ltd,Capital Goods,VOLTAMP,EQ,INE540H01012
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
