Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,14.78,19.90,36.61,0.00,2.79,36.76,34.30,-11.85,4.90,10.50,1.89,4.16,1.42,0.00,-5.80,25.99,12.15,-1.60,13.60,7.75,18.46,-29.66,0.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7052.50,96.97,149448.38,0.56,362.30,8.03,3558.87,21.03,29.93,63.63,0.02,22.39,126.41,0.00,15.51,29.76,24.70,1219.52,3902.80,33.06,13.97,10.22,179.71
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,45.75,,25.09,0.00,-0.41,-180.39,41.40,32.40,5.13,11.29,0.88,-12.17,1.19,0.00,7.39,,-0.08,0.13,-5.80,9.12,1.80,20.01,0.00
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,65.28,10.97,27.64,0.00,0.55,1000.00,24.76,9.22,41.26,6.03,0.21,34.71,108.33,0.00,-20.16,27.76,-13.62,-1.78,1.84,9.10,0.76,-22.31,0.48
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,124.11,31.36,259.97,0.40,2.56,141.51,24.44,27.03,18.66,14.84,0.57,14.97,6.27,0.00,18.11,8.30,18.91,7.67,21.90,19.04,19.52,21.56,0.00
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,50.11,29.81,159.20,0.25,1.55,63.54,7.29,67.97,17.81,18.63,0.16,12.17,10.85,0.00,23.52,44.22,7.57,-0.75,-0.78,9.42,16.13,28.61,0.15
Abha Power,,ABHAPOWER,INE0UYG01015,Industrial Products,Castings & Forgings,23.45,17.72,43.59,0.00,0.43,-86.44,27.65,-22.72,7.36,9.71,0.37,4.72,2.73,0.00,4.39,20.67,12.24,8.22,13.97,14.63,9.02,-11.34,22.65
Abril Paper,544500,,INE15MX01014,Industrial Products,Other Industrial Products,30.89,16.44,24.66,0.00,0.43,-24.56,27.05,-2.31,12.34,10.85,0.03,8.89,12.33,0.00,,,10.15,-7.60,-14.27,16.19,3.24,6.83,0.41
Accord Transformer,544710,,INE132201018,Electrical Equipment,Heavy Electrical Equipment,86.04,39.34,177.01,0.00,3.25,-40.37,42.35,-26.39,14.50,22.62,0.18,12.78,12.00,0.00,19.77,72.28,22.55,8.70,-4.92,25.09,9.90,-11.33,0.00
Acrow India,513149,,INE950D01012,Industrial Products,Iron & Steel Products,798.00,96.36,51.07,0.00,0.18,100.00,0.00,,2.65,53.76,0.00,1.90,,0.00,,48.93,-2.10,-3.47,-5.07,2.26,-6.53,207.41,0.00
