Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1236.40,12.22,23218.02,0.61,147.00,-56.33,5808.00,-4.59,11.25,7.64,0.02,10.86,17.48,0.00,5.34,31.47,12.59,-1364.01,3342.58,15.32,10.33,11.55,2227.30
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products,Cement & Cement Products,383.80,20.26,95367.28,0.52,660.00,-29.75,9500.00,-7.67,5.61,13.74,0.01,8.85,15.22,0.00,1.45,21.47,9.00,5361.53,13244.70,9.75,15.47,7.07,9120.94
Andhra Cements,532141,ACL,INE666E01020,Cement & Cement Products,Cement & Cement Products,42.63,,392.93,0.00,-35.93,-21.30,142.17,42.84,-6.01,65.20,13.96,-63.97,-0.60,31.67,,,-47.17,-25.15,7.68,-7.62,2.71,56.40,6.37
Anjani Portland,518091,APCL,INE071F01012,Cement & Cement Products,Cement & Cement Products,95.52,,280.59,0.00,-9.80,-108.24,89.76,-35.67,0.04,23.12,0.75,-10.07,-0.34,0.00,-11.71,14.39,-17.38,-28.64,33.70,-3.82,5.53,-10.65,1.13
Barak Valley,532916,BVCL,INE139I01011,Cement & Cement Products,Cement & Cement Products,41.26,45.26,91.43,0.00,3.06,130.08,60.87,5.82,4.48,8.47,0.23,0.23,2.04,0.00,5.13,-61.84,3.48,10.71,38.60,8.41,5.92,1.70,1.93
BIGBLOC Const.,540061,BIGBLOC,INE412U01025,Cement & Cement Products,Cement & Cement Products,40.01,337.17,566.44,0.00,-0.72,105.02,79.15,40.44,1.87,27.35,1.47,-1.25,0.75,0.00,12.29,,11.07,19.00,51.06,10.85,7.37,33.47,9.56
Birla Corpn.,500335,BIRLACORPN,INE340A01012,Cement & Cement Products,Cement & Cement Products,850.30,11.75,6548.16,1.47,115.73,-3.21,2646.45,7.83,9.78,6.29,0.46,7.83,3.89,0.00,3.61,134.45,6.42,950.44,4240.02,8.63,14.72,3.90,470.88
Burnpur Cement,532931,BURNPUR,INE817H01022,Cement & Cement Products,Cement & Cement Products,15.32,,26.39,0.00,-21.57,-13.77,0.00,,,-328.82,,,-0.02,0.00,,-1.19,,-2.22,2.09,-3.08,,,0.00
Dalmia BharatLtd,542216,DALBHARAT,INE00R701025,Cement & Cement Products,Cement & Cement Products,1700.20,29.03,31889.96,0.53,192.00,-15.27,3890.00,6.99,7.59,11.78,0.41,6.11,3.72,0.00,2.99,-0.69,5.04,2278.00,7030.00,6.63,19.96,7.60,2726.00
Deccan Cements,502137,DECCANCE,INE583C01021,Cement & Cement Products,Cement & Cement Products,553.55,,775.39,0.09,-2.84,-133.29,219.34,45.68,3.33,18.51,1.00,1.89,0.84,0.00,,,,75.57,,3.33,9.31,39.38,2.56
Grasim Inds,500300,GRASIM,INE047A01021,Cement & Cement Products,Cement & Cement Products,3191.00,37.85,217158.97,0.31,3846.28,49.95,48716.20,21.43,8.01,11.03,2.20,4.98,2.01,0.00,14.25,-9.85,5.21,-17809.61,-45698.59,8.27,20.96,19.51,16464.52
Heidelberg Cem.,500292,HEIDELBERG,INE578A01017,Cement & Cement Products,Cement & Cement Products,134.97,25.17,3058.60,5.19,30.55,-36.66,628.11,5.12,14.66,9.07,0.01,10.07,12.51,0.00,1.34,12.03,9.67,198.08,812.25,14.05,11.24,6.59,10.27
India Cements,530005,INDIACEM,INE383A01012,Cement & Cement Products,Cement & Cement Products,323.10,74.17,10012.78,0.00,26.85,526.14,1019.42,-0.52,1.24,20.43,0.13,0.37,2.57,0.00,-7.18,28.41,-4.51,-26.73,60.96,-1.75,10.47,7.06,344.24
J K Cements,532644,JKCEMENT,INE823G01014,Cement & Cement Products,Cement & Cement Products,5000.00,39.57,38634.13,0.40,274.62,-14.47,4031.72,20.26,15.10,17.66,0.88,15.61,4.28,0.00,12.18,33.36,15.13,1872.99,5771.48,14.96,16.21,15.92,1054.59
JK Lakshmi Cem.,500380,JKLAKSHMI,INE786A01032,Cement & Cement Products,Cement & Cement Products,510.35,16.48,6335.71,1.27,108.07,-28.07,1904.78,9.41,12.00,7.98,0.67,10.69,3.45,0.00,1.58,4.61,11.46,1082.35,2765.18,13.16,13.68,8.74,277.19
JSW Cement,544480,JSWCEMENT,INE718I01012,Cement & Cement Products,Cement & Cement Products,115.47,19.96,15742.77,0.43,153.43,359.81,1896.41,21.58,11.07,13.46,0.68,14.67,3.01,0.08,3.82,68.29,6.80,1170.21,3314.66,7.90,17.76,15.58,976.35
K C P,590066,KCP,INE805C01028,Cement & Cement Products,Cement & Cement Products,163.29,11.89,2105.15,0.31,55.25,-41.99,779.34,15.20,12.20,4.23,0.37,12.17,8.46,0.00,4.56,69.55,12.41,206.28,472.61,13.55,11.04,6.55,401.45
Kakatiya Cement,500234,KAKATCEM,INE437B01014,Cement & Cement Products,Cement & Cement Products,106.72,,82.96,2.81,-6.37,-97.83,17.95,-29.77,-7.54,-3.66,0.11,-8.52,-19.56,0.00,-20.02,,-4.92,-20.66,-19.44,-3.18,-33.83,-15.92,0.00
Kanoria Energy,539620,,INE534E01020,Cement & Cement Products,Cement & Cement Products,17.31,39.90,147.64,0.29,-4.83,2200.00,115.91,16.33,6.82,10.84,0.90,0.41,1.42,0.00,-4.86,-65.86,4.39,58.17,79.84,8.83,7.15,1.84,6.72
Keerthi Indus,518011,,INE145L01012,Cement & Cement Products,Cement & Cement Products,41.34,,33.15,0.00,-7.14,-151.41,19.11,-37.51,-25.11,-3.97,0.92,-69.37,-5.24,44.65,-27.00,,-40.98,1.16,21.30,-21.26,-18.87,-13.80,0.00
Kesoram Inds.,502937,KESORAMIND,INE087A01019,Cement & Cement Products,Cement & Cement Products,11.57,,359.49,0.00,-20.19,-111.86,77.66,27.21,-8.48,-45.99,0.59,-18.63,-1.32,0.00,-59.68,,526.68,-107.00,-146.58,-5.09,-21.59,4.63,3.25
Mangalam Cement,502157,MANGLMCEM,INE347A01017,Cement & Cement Products,Cement & Cement Products,1028.60,21.75,2828.37,0.15,18.07,-43.99,455.22,0.77,10.99,14.87,0.91,16.30,2.37,0.00,-0.81,80.75,10.13,93.97,464.06,10.93,11.07,0.56,53.51
NCL Industries,502168,NCLIND,INE732C01016,Cement & Cement Products,Cement & Cement Products,179.26,6.54,810.84,1.95,17.24,-20.77,343.67,2.49,14.62,5.00,0.25,11.28,7.41,13.66,-5.10,30.96,8.66,145.71,425.16,12.75,12.36,3.52,2.29
