Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,EVEBITDA,Debt to equity,Return on equity,Interest Coverage Ratio,Pledged percentage,Sales growth 3Years,Profit growth 3Years,Average return on equity 3Years,Cash from operations last year,Operating cash flow 3years,Average return on capital employed 3Years,OPM,Sales growth,Capital work in progress
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,442.90,52.58,31307.46,0.05,235.33,64.83,857.50,67.81,8.91,17.56,3.93,10.44,1.66,0.00,16.04,149.89,8.46,1248.59,4225.78,8.59,86.83,47.52,4357.66
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1338.50,56.08,163692.46,0.00,1236.56,124.22,9711.08,42.41,9.65,21.13,1.93,9.44,2.00,0.00,27.56,21.29,10.47,10996.68,26078.81,9.64,29.87,20.91,2053.60
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1296.60,110.15,213572.86,0.00,983.00,16.89,4431.00,16.61,7.39,24.89,5.19,11.40,1.29,0.00,18.38,17.34,13.36,10135.00,26212.00,8.58,86.37,10.98,19031.00
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,202.75,27.43,390997.19,0.00,4866.60,41.98,18901.89,33.97,17.22,17.03,0.84,21.07,6.19,1.81,11.84,5.87,31.77,20513.65,56184.91,24.00,37.38,6.64,35053.46
Advance Meter.,534612,,INE436N01029,Power,Power Generation,16.84,,27.05,0.00,2.36,-2.07,4.21,-12.29,-12.11,-11.09,0.21,-16.53,-4.99,0.00,-9.66,,-9.40,-9.28,-13.01,-7.14,-100.08,-16.01,0.00
Ampvolts,535719,,INE989J01017,Power,Power Distribution,24.70,21.38,63.51,0.00,1.10,443.75,13.01,1175.49,5.62,9.74,1.03,3.10,1.91,24.39,782.80,84.75,0.01,-21.99,-46.36,-2.69,22.32,1028.72,0.00
Anzen IYEP Trust,543655,ANZEN,INE0MIZ23019,Power,Power - Transmission,131.00,100.99,3349.92,12.11,54.03,354.35,288.12,160.84,3.28,14.54,2.48,-0.20,1.17,0.00,69.63,23.88,-1.37,424.84,827.90,2.16,79.94,106.47,9.36
CESC,500084,CESC,INE486A01021,Power,Integrated Power Utilities,139.86,11.93,18539.43,4.29,419.00,3.88,5485.00,5.44,10.88,7.41,1.73,12.04,2.64,0.00,9.24,4.25,11.82,4057.49,8990.34,11.24,18.45,8.73,2905.29
Clean Max Enviro,544717,CLEANMAX,INE647U01026,Power,Power Generation,1393.40,104.43,16379.72,0.00,55.18,441.69,832.16,106.83,6.16,18.02,2.73,1.76,1.31,20.02,27.19,-7.85,-0.21,1731.24,3221.72,7.12,54.94,27.89,5342.77
Energy Devl.Co.,532219,ENERGYDEV,INE306C01019,Power,Power Generation,15.25,301.83,72.44,0.00,-1.81,-209.70,6.34,-38.39,14.27,7.46,35.16,33.25,1.61,0.00,7.30,-32.24,-25.56,26.21,58.48,7.07,55.47,16.65,0.00
Gita Renewable,539013,,INE776O01018,Power,Power Generation,67.48,,27.75,0.00,-0.07,0.00,0.00,,0.38,-2753.00,0.00,0.31,-1.00,0.00,,-72.63,-0.23,0.02,-0.82,0.06,,-100.00,0.00
Globus Power,526025,,INE064L01015,Power,Power Generation,15.50,,153.37,0.00,-0.03,-14.29,0.00,,-5.94,-294.90,0.00,-6.32,,0.00,,-1.38,-9.12,0.00,10.54,-13.00,,,0.00
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,102.68,,8019.49,0.00,-35.38,48.83,1705.18,3.44,11.96,8.73,6.09,-42.78,0.94,59.96,9.95,,,1259.98,5783.00,12.28,21.85,15.79,456.53
Guj Inds. Power,517300,GIPCL,INE162A01010,Power,Power Generation,185.84,5.74,2884.53,2.21,157.90,174.75,499.28,34.39,5.47,7.27,0.94,10.93,3.43,0.00,3.23,28.72,7.87,649.00,1820.69,6.52,41.18,23.78,2065.72
GVK Power Infra.,532708,GVKPIL,INE251H01024,Power,Power Generation,2.63,,415.33,0.00,-0.55,99.73,0.00,-100.00,-12.29,-196.36,,,,0.00,-66.39,,,5.91,1398.44,4.35,,-100.00,0.00
IND Renewable,536709,,INE138O01029,Power,Power Generation,14.22,,19.80,0.00,-0.02,-100.00,0.00,,-4.58,-16.72,0.02,-4.76,,0.00,,,-1.87,-0.13,-23.27,-1.58,,,0.00
