symbol,observations,ar1_phi,ar1_t,rho_1,rho_2,rho_3,rho_4,rho_5,significance_bound,significant_lags,ljung_box_q,ljung_box_critical_5pct,predictable_at_5pct,weekly_rho_1,weekly_significance_bound
WELCORP,246,0.011,0.17,0.011,-0.042,-0.014,0.039,0.116,0.125,,4.34,11.07,False,0.317,0.277
RPEL,246,0.021,0.33,0.021,-0.118,0.131,0.08,0.064,0.125,3,10.51,11.07,False,0.341,0.277
SBCL,246,0.096,1.52,0.097,-0.175,0.023,0.145,0.069,0.125,"2, 4",16.69,11.07,True,0.197,0.277
FINCABLES,246,0.066,1.03,0.066,-0.093,0.005,0.09,0.005,0.125,,5.3,11.07,False,0.018,0.277
GREAVESCOT,246,0.047,0.72,0.046,-0.025,0.037,0.075,0.019,0.125,,2.56,11.07,False,0.167,0.277
ACE,246,-0.021,-0.33,-0.021,-0.136,0.04,0.137,-0.018,0.125,"2, 4",9.99,11.07,False,0.067,0.277
CARBORUNIV,246,-0.004,-0.05,-0.004,-0.008,-0.003,0.035,0.007,0.125,,0.35,11.07,False,0.011,0.277
GOODLUCK,246,0.006,0.09,0.006,0.018,-0.121,-0.0,-0.07,0.125,,5.05,11.07,False,-0.175,0.277
BEML,246,-0.057,-0.9,-0.058,-0.047,-0.131,0.092,-0.011,0.125,3,7.82,11.07,False,0.002,0.277
ACMESOLAR,246,-0.011,-0.16,-0.011,-0.012,0.04,0.003,0.079,0.125,,2.04,11.07,False,-0.074,0.277
PORTFOLIO,246,0.057,0.9,0.057,-0.097,0.086,0.097,0.044,0.125,,7.88,11.07,False,0.22,0.277
