symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
GMMPFAUDLR,GMM Pfaudler,Screener: Industrial Products,,6766.96,True,13.64,True,10.82,True,388.8,True,0.86,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1505.2,78.94,68.1,39.63,6.42,Bullish (Uptrend),91.59,1155.8,1533.6,True,247,62.54,21.52,15.62,17.1,9.91,82.44,1,24.0,LEADING,LEADING,33.21,False,False,True,False,True,,True,True
WELCORP,Welspun Corp,Screener: Iron & Steel Products,,74716.06,True,22.89,True,13.89,True,3204.28,True,0.26,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,2832.4,66.32,42.51,32.45,18.58,Bullish (Uptrend),89.2,2240.2,2836.0,True,247,86.84,6.89,3.52,3.9,185.19,80.05,2,9.37,LEADING,LEADING,13.87,False,False,True,False,True,,True,True
SBCL,Shivalik Bimetal,Screener: Iron & Steel Products,,6650.4,True,26.57,True,23.03,True,54.89,True,0.15,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1154.5,62.19,34.27,26.11,15.2,Bullish (Uptrend),56.29,986.5,1155.9,True,247,53.9,-0.78,5.34,9.5,152.23,47.13,6,1.7,WEAKENING,LEADING,10.91,False,False,True,False,True,,True,False
SHANTIGEAR,Shanthi Gears,Screener: Industrial Products,,5113.5,True,25.55,True,17.74,True,70.1,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,666.55,63.39,47.01,27.71,16.31,Bullish (Uptrend),53.06,514.7,704.0,True,247,50.76,2.14,-6.6,-12.4,14.92,43.9,7,4.62,LEADING,LEADING,11.4,False,False,True,False,True,,True,True
RPEL,Raghav Product.,Screener: Electrodes & Refractories,KEPT: refractory ramming mass used inside steel plants' induction furnaces (an industrial consumable).,7804.44,True,30.3,True,29.76,True,37.0,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1699.5,53.64,29.49,24.86,18.37,Bullish (Uptrend),48.35,1507.2,1700.0,True,247,46.01,-0.27,-1.0,-2.1,179.48,39.19,8,2.22,WEAKENING,LEADING,6.49,False,False,True,False,True,,True,False
KENNAMET,Kennametal India,Screener: Industrial Products,,9246.69,True,33.21,True,20.1,True,18.3,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,4207.2,49.28,40.9,21.73,18.9,Bullish (Uptrend),42.62,4100.2,4260.0,True,111,68.59,-27.13,-14.8,-34.7,,33.47,9,-24.64,WEAKENING,WEAKENING,2.83,False,False,True,False,True,,False,False
DYNAMATECH,Dynamatic Tech.,Screener: Industrial Products,,8932.78,True,10.21,True,11.94,True,95.34,True,0.8,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,13153.0,75.64,41.31,35.66,9.81,Bullish (Uptrend),34.05,11215.0,13287.0,True,247,11.72,10.26,15.47,45.4,8.18,24.89,15,12.74,LEADING,LEADING,25.85,False,False,True,False,True,,True,True
QPOWER,Quality Power El,Screener: Heavy Electrical Equipment,,11754.47,True,31.53,True,18.59,True,80.28,True,0.07,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1517.8,58.61,23.15,24.1,20.11,Bullish (Uptrend),27.43,1291.7,1570.0,True,247,25.57,-4.96,5.61,20.5,48.93,18.28,17,-2.48,WEAKENING,WEAKENING,3.99,False,False,True,False,True,,True,False
ACE,Action Const.Eq.,Screener: Construction Vehicles,,14606.74,True,31.63,True,15.5,True,417.25,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1226.6,64.25,32.83,28.45,15.05,Bullish (Uptrend),26.23,1073.8,1241.5,True,247,21.72,3.79,10.92,41.6,32.76,17.08,18,6.27,LEADING,LEADING,13.4,False,False,True,False,True,,True,True
FINCABLES,Finolex Cables,Screener: Cables - Electricals,,22342.91,True,16.01,True,10.48,True,49.08,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1460.9,65.06,44.3,29.2,10.51,Bullish (Uptrend),25.61,1186.5,1498.0,True,247,24.48,3.1,4.52,17.6,45.07,16.46,20,5.59,LEADING,LEADING,18.69,False,False,True,False,True,,True,True
UNIVCABLES,Universal Cables,Screener: Cables - Electricals,,5183.49,True,11.68,True,8.74,True,63.48,True,0.62,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1494.0,47.77,17.5,18.66,21.59,Bearish (Downtrend),23.82,1477.0,1693.4,False,247,27.29,-7.7,-2.52,-10.6,138.85,14.67,22,-5.22,WEAKENING,WEAKENING,-2.93,False,False,True,False,True,,False,False
