symbol,company_name,index,price_sessions,current_price,passed_technical_screen,technical_fail_reason,rs_score,adx,plus_di,minus_di,trend_direction,rsi,fundamentals_as_of,fundamentals_status,pledged_as_of,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,passed_fundamental_screen,failed_criteria,passes_both_screens
ABB,ABB India Ltd.,Nifty Capital Goods,248,7129.0,False,trend Bearish,4.37,22.59,15.95,26.44,Bearish (Downtrend),40.95,,,,,,,,,,,,,,,,,,False
AIAENG,AIA Engineering Ltd.,Nifty Capital Goods,248,3953.4,False,RS <= +2 pp; trend Bearish,-15.72,23.97,16.17,24.42,Bearish (Downtrend),36.49,,,,,,,,,,,,,,,,,,False
APLAPOLLO,APL Apollo Tubes Ltd.,Nifty Capital Goods,248,2184.8,True,,24.25,29.75,23.26,19.15,Bullish (Uptrend),54.16,2026-09-25,OK,30-Jun-2026,60663.0,True,31.8,True,7.98,False,2103.0,True,0.09,True,0.0,True,False,OPM > 8%,False
APARINDS,Apar Industries Ltd.,Nifty Capital Goods,248,17804.0,True,,13.55,29.83,22.54,18.0,Bullish (Uptrend),54.01,2026-09-25,OK,30-Jun-2026,74550.0,True,31.8,True,8.9,True,968.0,True,0.18,True,0.0,True,True,,True
ASHOKLEY,Ashok Leyland Ltd.,Nifty Capital Goods,248,157.3,False,RS <= +2 pp; trend Bearish,0.32,19.7,16.4,30.74,Bearish (Downtrend),37.12,,,,,,,,,,,,,,,,,,False
ASTRAMICRO,Astra Microwave Products Ltd.,Nifty Capital Goods,248,1596.2,False,RS <= +2 pp; trend Bearish,-4.86,16.91,13.23,22.88,Bearish (Downtrend),41.11,,,,,,,,,,,,,,,,,,False
ASTRAL,Astral Ltd.,Nifty Capital Goods,248,1392.0,False,RS <= +2 pp; trend Bearish,-3.95,21.94,17.36,26.48,Bearish (Downtrend),37.74,,,,,,,,,,,,,,,,,,False
BEML,BEML Ltd.,Nifty Capital Goods,248,2044.4,True,,19.34,27.27,25.09,21.78,Bullish (Uptrend),53.93,2026-09-25,OK,30-Jun-2026,17028.0,True,7.66,False,7.72,False,118.0,True,0.11,True,0.0,True,False,ROCE > 8%; OPM > 8%,False
BDL,Bharat Dynamics Ltd.,Nifty Capital Goods,248,1155.0,False,RS <= +2 pp; trend Bearish,-13.17,26.4,18.4,30.73,Bearish (Downtrend),34.27,,,,,,,,,,,,,,,,,,False
BEL,Bharat Electronics Ltd.,Nifty Capital Goods,248,392.0,False,RS <= +2 pp; trend Bearish,-1.31,13.08,17.56,24.53,Bearish (Downtrend),41.56,,,,,,,,,,,,,,,,,,False
BHEL,Bharat Heavy Electricals Ltd.,Nifty Capital Goods,248,415.35,True,,5.57,20.61,22.54,21.84,Bullish (Uptrend),45.66,2026-09-25,OK,30-Jun-2026,144628.0,True,9.14,True,9.4,True,5837.0,True,0.31,True,0.0,True,True,,True
CGPOWER,CG Power and Industrial Solutions Ltd.,Nifty Capital Goods,248,886.7,False,RS <= +2 pp; trend Bearish,-3.45,14.36,23.41,24.55,Bearish (Downtrend),49.04,,,,,,,,,,,,,,,,,,False
CARBORUNIV,Carborundum Universal Ltd.,Nifty Capital Goods,248,1296.5,True,,15.83,26.75,43.87,10.28,Bullish (Uptrend),72.89,2026-09-25,OK,30-Jun-2026,24699.0,True,10.5,True,10.95,True,367.0,True,0.11,True,0.0,True,True,,True
COCHINSHIP,Cochin Shipyard Ltd.,Nifty Capital Goods,248,1370.0,False,RS <= +2 pp; trend Bearish,-3.63,17.32,24.03,32.51,Bearish (Downtrend),40.07,,,,,,,,,,,,,,,,,,False
CUMMINSIND,Cummins India Ltd.,Nifty Capital Goods,248,4973.0,False,RS <= +2 pp; trend Bearish,-9.43,24.83,16.32,25.25,Bearish (Downtrend),40.98,,,,,,,,,,,,,,,,,,False
DATAPATTNS,Data Patterns (India) Ltd.,Nifty Capital Goods,248,4395.5,False,RS <= +2 pp; trend Bearish,-0.04,12.64,21.59,26.77,Bearish (Downtrend),43.68,,,,,,,,,,,,,,,,,,False
ELGIEQUIP,Elgi Equipments Ltd.,Nifty Capital Goods,248,608.8,True,,3.21,13.28,20.05,18.6,Bullish (Uptrend),48.43,2026-09-25,OK,30-Jun-2026,19293.0,True,22.1,True,14.76,True,454.0,True,0.24,True,0.87,True,True,,True
ESCORTS,Escorts Kubota Ltd.,Nifty Capital Goods,248,2822.9,False,RS <= +2 pp; trend Bearish,-1.87,24.18,16.02,25.09,Bearish (Downtrend),36.15,,,,,,,,,,,,,,,,,,False
FINCABLES,Finolex Cables Ltd.,Nifty Capital Goods,248,1480.0,True,,34.98,44.09,31.59,8.47,Bullish (Uptrend),68.01,2026-09-25,OK,30-Jun-2026,22635.0,True,16.0,True,10.48,True,49.0,True,0.0,True,0.0,True,True,,True
FINPIPE,Finolex Industries Ltd.,Nifty Capital Goods,248,154.04,False,RS <= +2 pp; trend Bearish,-10.17,26.96,13.9,21.46,Bearish (Downtrend),42.77,,,,,,,,,,,,,,,,,,False
