symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
ULTRACEMCO,UltraTech Cem.,Screener: Cement & Cement Products,,328714.62,True,12.66,True,19.17,True,15315.86,True,0.31,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,11155.0,48.12,21.33,17.23,20.6,Bearish (Downtrend),0.13,11074.0,11674.0,False,247,-1.77,0.68,3.12,2400.0,-0.93,4.8,5,0.3,LEADING,LEADING,-3.37,False,True,True,False,True,,False,False
JKCEMENT,J K Cements,Screener: Cement & Cement Products,,38634.13,True,15.1,True,16.21,True,1872.99,True,0.88,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,5000.0,44.96,29.38,17.66,17.17,Bullish (Uptrend),-4.28,4999.0,5244.5,False,247,0.92,-6.47,3.24,,-5.84,0.39,6,-6.84,LAGGING,WEAKENING,0.49,True,False,True,False,True,,False,False
SHREECEM,Shree Cement,Screener: Cement & Cement Products,,81253.84,True,10.27,True,20.91,True,3794.07,True,0.08,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,22520.0,39.85,33.29,19.01,28.87,Bearish (Downtrend),-8.72,22370.0,24485.0,False,247,-5.67,-4.48,0.36,,-4.59,-4.04,10,-4.85,LAGGING,LAGGING,-9.86,False,False,True,False,True,,False,False
STARCEMENT,Star Cement,Screener: Cement & Cement Products,,7542.41,True,16.65,True,23.7,True,764.86,True,0.19,True,1.33,True,6,,OK,2026-09-26,Screener 2026-09-26,186.61,41.12,25.16,16.57,28.94,Bearish (Downtrend),-8.79,186.0,196.34,False,247,-11.48,2.76,-2.63,,-24.61,-4.11,11,2.39,IMPROVING,IMPROVING,-12.37,False,False,True,False,True,,False,False
JSWCEMENT,JSW Cement,Screener: Cement & Cement Products,,15742.77,True,11.07,True,17.76,True,1170.21,True,0.68,True,0.08,True,6,,OK,2026-09-26,Screener 2026-09-26,115.47,29.39,36.52,12.1,30.34,Bearish (Downtrend),-11.31,115.23,123.9,False,247,-7.19,-2.93,-2.87,,-3.5,-6.64,12,-3.3,LAGGING,LAGGING,-18.24,False,False,True,False,True,,False,False
BIRLACORPN,Birla Corpn.,Screener: Cement & Cement Products,,6548.16,True,9.78,True,14.72,True,950.44,True,0.46,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,850.3,48.09,32.59,17.44,21.44,Bearish (Downtrend),-12.18,832.1,897.95,False,247,-12.87,-2.21,3.15,,-2.76,-7.51,13,-2.58,LAGGING,LAGGING,-4.0,False,False,True,False,True,,False,False
JKLAKSHMI,JK Lakshmi Cem.,Screener: Cement & Cement Products,,6335.71,True,12.0,True,13.68,True,1082.35,True,0.67,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,510.35,40.82,18.42,20.24,18.51,Bullish (Uptrend),-13.63,505.9,544.4,False,247,-17.69,4.2,2.4,,-18.85,-8.96,15,3.82,IMPROVING,IMPROVING,1.73,True,False,True,False,True,,False,False
NUVOCO,Nuvoco Vistas,Screener: Cement & Cement Products,,11980.8,True,6.99,False,16.44,True,1485.17,True,0.53,True,0.0,True,5,ROCE > 8%,OK,2026-09-26,Screener 2026-09-26,335.45,52.47,14.91,27.47,21.95,Bullish (Uptrend),12.01,334.0,335.65,True,247,6.54,3.97,2.77,23.1,0.97,16.69,1,3.6,LEADING,LEADING,5.52,False,False,False,False,True,ROCE > 8%,True,False
DALBHARAT,Dalmia BharatLtd,Screener: Cement & Cement Products,,31889.96,True,7.59,False,19.96,True,2278.0,True,0.41,True,0.0,True,5,ROCE > 8%,OK,2026-09-26,Screener 2026-09-26,1700.2,39.23,19.69,17.35,25.27,Bearish (Downtrend),1.71,1685.1,1765.3,False,247,1.58,1.43,-1.06,-62.0,-5.31,6.38,3,1.06,LEADING,LEADING,-7.92,False,False,False,False,True,ROCE > 8%,False,False
RAMCOCEM,The Ramco Cement,Screener: Cement & Cement Products,,20499.55,True,6.13,False,14.57,True,1611.06,True,0.48,True,3.43,True,5,ROCE > 8%,OK,2026-09-26,Screener 2026-09-26,867.55,42.96,13.15,15.31,19.55,Bearish (Downtrend),-4.96,866.0,899.5,False,247,-1.78,0.47,1.27,,-5.56,-0.28,7,0.1,IMPROVING,IMPROVING,-4.24,False,False,False,False,True,ROCE > 8%,False,False
