symbol,company_name,index,price_sessions,current_price,passed_technical_screen,technical_fail_reason,rs_score,adx,plus_di,minus_di,trend_direction,rsi,fundamentals_as_of,fundamentals_status,pledged_as_of,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,passed_fundamental_screen,failed_criteria,passes_both_screens
ACC,ACC,Screener: Cement & Cement Products,247,1236.4,False,RS <= +2 pp; trend Bearish,-5.55,16.01,21.95,23.45,Bearish (Downtrend),38.51,,,,,,,,,,,,,,,,,,False
AMBUJACEM,Ambuja Cements,Screener: Cement & Cement Products,247,383.8,False,RS <= +2 pp; trend Bearish,-7.81,26.5,13.65,28.09,Bearish (Downtrend),36.05,,,,,,,,,,,,,,,,,,False
BIRLACORPN,Birla Corpn.,Screener: Cement & Cement Products,247,850.3,False,RS <= +2 pp; trend Bearish,-12.18,32.59,17.44,21.44,Bearish (Downtrend),48.09,,,,,,,,,,,,,,,,,,False
DALBHARAT,Dalmia BharatLtd,Screener: Cement & Cement Products,247,1700.2,False,RS <= +2 pp; trend Bearish,1.71,19.69,17.35,25.27,Bearish (Downtrend),39.23,,,,,,,,,,,,,,,,,,False
GRASIM,Grasim Inds,Screener: Cement & Cement Products,247,3191.0,False,trend Bearish,5.32,20.76,14.38,20.33,Bearish (Downtrend),45.66,,,,,,,,,,,,,,,,,,False
INDIACEM,India Cements,Screener: Cement & Cement Products,247,323.1,False,RS <= +2 pp; trend Bearish,-12.72,28.31,14.99,33.07,Bearish (Downtrend),26.52,,,,,,,,,,,,,,,,,,False
JKCEMENT,J K Cements,Screener: Cement & Cement Products,247,5000.0,False,RS <= +2 pp,-4.28,29.38,17.66,17.17,Bullish (Uptrend),44.96,,,,,,,,,,,,,,,,,,False
JKLAKSHMI,JK Lakshmi Cem.,Screener: Cement & Cement Products,247,510.35,False,RS <= +2 pp,-13.63,18.42,20.24,18.51,Bullish (Uptrend),40.82,,,,,,,,,,,,,,,,,,False
JSWCEMENT,JSW Cement,Screener: Cement & Cement Products,247,115.47,False,RS <= +2 pp; trend Bearish,-11.31,36.52,12.1,30.34,Bearish (Downtrend),29.39,,,,,,,,,,,,,,,,,,False
NUVOCO,Nuvoco Vistas,Screener: Cement & Cement Products,247,335.45,True,,12.01,14.91,27.47,21.95,Bullish (Uptrend),52.47,2026-09-26,OK,Screener 2026-09-26,11980.8,True,6.99,False,16.44,True,1485.17,True,0.53,True,0.0,True,False,ROCE > 8%,False
PRSMJOHNSN,Prism Johnson,Screener: Cement & Cement Products,247,116.31,False,RS <= +2 pp,0.67,41.72,27.75,10.23,Bullish (Uptrend),60.04,,,,,,,,,,,,,,,,,,False
SHREECEM,Shree Cement,Screener: Cement & Cement Products,247,22520.0,False,RS <= +2 pp; trend Bearish,-8.72,33.29,19.01,28.87,Bearish (Downtrend),39.85,,,,,,,,,,,,,,,,,,False
STARCEMENT,Star Cement,Screener: Cement & Cement Products,247,186.61,False,RS <= +2 pp; trend Bearish,-8.79,25.16,16.57,28.94,Bearish (Downtrend),41.12,,,,,,,,,,,,,,,,,,False
RAMCOCEM,The Ramco Cement,Screener: Cement & Cement Products,247,867.55,False,RS <= +2 pp; trend Bearish,-4.96,13.15,15.31,19.55,Bearish (Downtrend),42.96,,,,,,,,,,,,,,,,,,False
ULTRACEMCO,UltraTech Cem.,Screener: Cement & Cement Products,247,11155.0,False,RS <= +2 pp; trend Bearish,0.13,21.33,17.23,20.6,Bearish (Downtrend),48.12,,,,,,,,,,,,,,,,,,False
