date,portfolio,nifty500_tri
2025-09-30,1.003224,0.999780
2025-10-01,1.011756,1.008320
2025-10-03,1.028632,1.012695
2025-10-06,1.021115,1.018937
2025-10-07,1.025477,1.020688
2025-10-08,1.016005,1.016284
2025-10-09,1.012261,1.022108
2025-10-10,1.016396,1.026325
2025-10-13,1.010164,1.024446
2025-10-14,0.997835,1.019575
2025-10-15,0.999316,1.028134
2025-10-16,1.001655,1.036335
2025-10-17,0.990306,1.037908
2025-10-20,0.994916,1.043152
2025-10-21,1.014657,1.045047
2025-10-23,1.001930,1.044910
2025-10-24,0.999862,1.041896
2025-10-27,1.016979,1.049164
2025-10-28,1.021853,1.047917
2025-10-29,1.038305,1.054071
2025-10-30,1.038862,1.049182
2025-10-31,1.041548,1.043429
2025-11-03,1.046550,1.047886
2025-11-04,1.039200,1.041941
2025-11-06,1.017253,1.034832
2025-11-07,1.022461,1.035422
2025-11-10,1.029441,1.038856
2025-11-11,1.018333,1.042647
2025-11-12,1.026969,1.049437
2025-11-13,1.019820,1.048529
2025-11-14,1.015218,1.049463
2025-11-17,1.014655,1.054667
2025-11-18,1.003594,1.048977
2025-11-19,0.996604,1.052583
2025-11-20,0.990005,1.055635
2025-11-21,0.974618,1.047504
2025-11-24,0.965757,1.042410
2025-11-25,0.972388,1.041551
2025-11-26,0.980763,1.054796
2025-11-27,0.976911,1.054467
2025-11-28,0.973004,1.053827
2025-12-01,0.972519,1.053353
2025-12-02,0.970009,1.048940
2025-12-03,0.964790,1.044276
2025-12-04,0.955793,1.045368
2025-12-05,0.943767,1.049515
2025-12-08,0.920541,1.035907
2025-12-09,0.933188,1.035469
2025-12-10,0.928278,1.030736
2025-12-11,0.939019,1.036992
2025-12-12,0.948202,1.044713
2025-12-15,0.961933,1.044668
2025-12-16,0.957174,1.037841
2025-12-17,0.944877,1.034579
2025-12-18,0.937507,1.034378
2025-12-19,0.941071,1.042573
2025-12-22,0.959277,1.050943
2025-12-23,0.966906,1.052154
2025-12-24,0.961434,1.050179
2025-12-26,0.950890,1.047096
2025-12-29,0.950206,1.042775
2025-12-30,0.933969,1.042188
2025-12-31,0.954465,1.051115
2026-01-01,0.959515,1.052790
2026-01-02,0.967341,1.061131
2026-01-05,0.957147,1.059345
2026-01-06,0.940221,1.057233
2026-01-07,0.940376,1.057504
2026-01-08,0.927364,1.042687
2026-01-09,0.914496,1.033317
2026-01-12,0.905783,1.035215
2026-01-13,0.907078,1.033905
2026-01-14,0.900221,1.033692
2026-01-16,0.892911,1.034479
2026-01-19,0.887027,1.029566
2026-01-20,0.858918,1.010769
2026-01-21,0.850294,1.005867
2026-01-22,0.857636,1.013513
2026-01-23,0.839447,1.000193
2026-01-27,0.839213,1.005201
2026-01-28,0.870563,1.016780
2026-01-29,0.864884,1.019109
2026-01-30,0.869332,1.016710
2026-02-01,0.870283,0.996084
2026-02-02,0.866070,1.006029
2026-02-03,0.901790,1.032875
2026-02-04,0.914022,1.036798
2026-02-05,0.909156,1.031444
2026-02-06,0.913051,1.032583
