symbol,sector,current_price,annualized_volatility_pct,historical_expected_return_pct,weight_pct,risk_contribution_pct,shares,invested_inr,atr_14,atr_pct,stop_loss_price,stop_loss_pct_below_current,stop_loss_method
WELCORP,Capital Goods,2832.4,42.58,129.26,8.11,9.09,272,770412.8,130.91,4.62,2439.67,13.87,atr
TDPOWERSYS,Capital Goods,751.55,54.72,112.84,6.79,9.09,858,644829.9,36.76,4.89,641.28,14.67,atr
APARINDS,Capital Goods,17776.0,46.89,83.33,7.83,9.09,41,728816.0,798.39,4.49,15380.82,13.47,atr
QPOWER,Capital Goods,1517.8,55.0,56.02,6.69,9.09,418,634440.4,71.08,4.68,1273.93,16.07,support
FINCABLES,Capital Goods,1460.9,43.65,68.4,8.18,9.09,531,775737.9,63.94,4.38,1269.07,13.13,atr
CARBORUNIV,Capital Goods,1278.5,34.54,36.08,11.0,9.09,817,1044534.5,54.16,4.24,1054.96,17.48,support
BEML,Capital Goods,2036.5,39.18,0.71,8.19,9.09,382,777943.0,71.63,3.52,1821.61,10.55,atr
VOLTAMP,Capital Goods,10709.0,40.33,49.76,9.49,9.09,84,899556.0,356.74,3.33,9638.77,9.99,atr
USHAMART,Capital Goods,518.8,33.89,20.49,10.32,9.09,1889,980013.2,16.16,3.11,470.33,9.34,atr
ACMESOLAR,Power,442.9,38.18,53.69,12.35,9.09,2649,1173242.1,19.64,4.43,377.99,14.66,support
NUVOCO,Cement,335.45,35.98,-21.8,11.05,9.09,3129,1049623.05,10.4,3.1,304.25,9.3,atr
