symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,interest_coverage,pass_interest_coverage,operating_cash_flow,pass_operating_cash_flow,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
ACMESOLAR,ACME Solar Hold.,Screener: Power Generation,,31307.46,True,8.91,True,1.66,True,1248.59,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,442.9,63.04,33.11,28.65,13.29,Bullish (Uptrend),18.51,382.9,464.45,True,247,16.07,11.31,13.01,70.3,52.67,24.55,1,7.59,LEADING,LEADING,15.36,False,True,True,,True,,True,True
TATAPOWER,Tata Power Co.,Screener: Integrated Power Utilities,,117428.73,True,10.53,True,2.29,True,5993.33,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,367.5,49.53,22.8,23.29,14.87,Bullish (Uptrend),-3.19,365.15,372.35,False,247,-10.85,5.38,1.66,,-19.94,2.85,5,1.66,IMPROVING,LEADING,8.42,False,False,True,,True,,True,False
POWERGRID,Power Grid Corpn,Screener: Power - Transmission,,250651.27,True,9.1,True,2.7,True,40935.36,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,269.5,51.72,13.86,21.96,13.96,Bullish (Uptrend),-4.13,268.75,271.5,False,247,-10.42,4.71,0.69,,-26.22,1.92,6,1.0,IMPROVING,LEADING,8.0,False,False,True,,True,,True,False
NAVA,Nava,Screener: Power Generation,CONGLOMERATE CONCERN: power generation plus ferro alloys and mining (Zambia).,15623.27,True,12.8,True,111.19,True,2312.33,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,551.45,45.86,16.4,21.88,14.01,Bullish (Uptrend),-6.24,550.1,565.0,False,247,-7.32,-0.37,0.28,,-9.69,-0.19,8,-4.08,LAGGING,LAGGING,7.87,False,False,True,,True,,True,False
NTPC,NTPC,Screener: Power Generation,,316693.12,True,8.92,True,2.9,True,50901.81,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,326.6,40.62,27.98,9.79,22.34,Bearish (Downtrend),-6.56,324.7,329.95,False,247,-9.76,2.21,-0.99,,-24.16,-0.51,9,-1.5,IMPROVING,LAGGING,-12.55,False,False,True,,True,,False,False
ADANIENSOL,Adani Energy Sol,Screener: Power Distribution,,163692.46,True,9.65,True,2.0,True,10996.68,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,1338.5,35.26,27.88,15.29,32.11,Bearish (Downtrend),-8.23,1337.0,1383.4,False,247,-11.55,3.97,-2.32,,51.85,-2.18,10,0.26,IMPROVING,IMPROVING,-16.82,False,False,True,,True,,False,False
ADANIPOWER,Adani Power,Screener: Integrated Power Utilities,,390997.19,True,17.22,True,6.19,True,20513.65,True,1.81,True,5,,OK,2026-09-26,Screener 2026-09-26,202.75,44.89,13.29,16.65,29.48,Bearish (Downtrend),-8.98,201.87,207.5,False,247,-9.12,-0.7,-3.52,,26.13,-2.93,11,-4.42,LAGGING,LAGGING,-12.83,False,False,True,,True,,False,False
TORNTPOWER,Torrent Power,Screener: Integrated Power Utilities,,63219.74,True,13.66,True,4.21,True,5464.17,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,1254.6,43.15,19.66,20.24,24.38,Bearish (Downtrend),-9.8,1243.8,1255.9,False,247,-12.05,0.56,-1.7,,-21.67,-3.75,13,-3.16,IMPROVING,LAGGING,-4.14,False,False,True,,True,,False,False
CESC,CESC,Screener: Integrated Power Utilities,,18539.43,True,10.88,True,2.64,True,4057.49,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,139.86,29.76,19.02,16.79,31.2,Bearish (Downtrend),-13.24,139.6,153.42,False,247,-17.06,2.21,-3.71,,-10.9,-7.2,19,-1.51,IMPROVING,LAGGING,-14.41,False,False,True,,True,,False,False
NLCINDIA,NLC India,Screener: Power Generation,,36406.14,True,8.42,True,4.01,True,5166.07,True,0.0,True,5,,OK,2026-09-26,Screener 2026-09-26,262.55,39.9,21.76,16.68,26.23,Bearish (Downtrend),-18.17,262.2,263.0,False,247,-18.66,1.68,-1.38,,-7.07,-12.12,20,-2.04,IMPROVING,LAGGING,-9.55,False,False,True,,True,,False,False
