symbol,observations,beta_market,t_market,beta_crude,t_crude,beta_gsec,t_gsec,r2_single_index,r2_multifactor,adj_r2_single_index,adj_r2_multifactor,r2_gain_pp
WELCORP,246,1.229,6.31,-0.003,-0.07,0.162,0.21,0.172,0.172,0.168,0.161,0.02
RPEL,246,1.548,6.56,0.014,0.25,1.499,1.59,0.202,0.211,0.199,0.201,0.85
SBCL,246,1.39,5.32,0.011,0.18,0.455,0.44,0.131,0.132,0.127,0.121,0.08
FINCABLES,246,1.174,5.82,0.024,0.51,0.575,0.71,0.154,0.157,0.15,0.146,0.27
GREAVESCOT,246,1.755,9.28,0.103,2.3,-0.398,-0.53,0.271,0.287,0.268,0.279,1.62
ACE,246,1.054,7.06,0.019,0.53,0.482,0.81,0.211,0.214,0.207,0.204,0.31
CARBORUNIV,246,1.02,6.46,-0.047,-1.27,-1.448,-2.29,0.141,0.166,0.138,0.155,2.4
GOODLUCK,246,1.619,8.47,0.003,0.07,-1.139,-1.49,0.237,0.244,0.234,0.235,0.69
BEML,246,1.781,11.61,0.047,1.28,-0.354,-0.58,0.385,0.39,0.382,0.382,0.49
ACMESOLAR,246,0.383,2.04,0.01,0.23,0.281,0.37,0.023,0.023,0.019,0.011,0.08
PORTFOLIO,246,1.221,14.92,0.014,0.73,-0.032,-0.1,0.523,0.524,0.521,0.518,0.11
