symbol,observations,alpha_annual_pct,alpha_t,beta,beta_se,r_squared,total_vol_pct,systematic_vol_pct,unsystematic_vol_pct,explained_risk_pct,unexplained_risk_pct
WELCORP,246,130.7,3.32,1.247,0.175,0.172,42.64,17.66,38.81,17.2,82.8
TDPOWERSYS,246,112.99,2.13,1.191,0.236,0.095,54.84,16.87,52.18,9.5,90.5
APARINDS,246,88.02,2.04,1.368,0.192,0.172,46.77,19.38,42.57,17.2,82.8
QPOWER,246,56.43,1.08,1.362,0.233,0.123,55.13,19.3,51.64,12.3,87.7
FINCABLES,246,68.11,1.67,1.212,0.182,0.154,43.76,17.17,40.25,15.4,84.6
CARBORUNIV,246,37.82,1.17,0.915,0.144,0.141,34.44,12.96,31.91,14.1,85.9
BEML,246,5.54,0.18,1.713,0.139,0.385,39.13,24.27,30.69,38.5,61.5
VOLTAMP,246,50.79,1.34,1.066,0.169,0.14,40.35,15.1,37.42,14.0,86.0
USHAMART,246,19.95,0.67,1.226,0.132,0.262,33.95,17.37,29.17,26.2,73.8
ACMESOLAR,246,55.29,1.46,0.402,0.169,0.023,37.89,5.7,37.46,2.3,97.7
NUVOCO,246,-17.51,-0.54,1.167,0.143,0.214,35.73,16.54,31.68,21.4,78.6
PORTFOLIO,246,50.9,3.07,1.127,0.074,0.488,22.85,15.96,16.35,48.8,51.2
