symbol,price,stop_loss_price,downside_to_stop_pct,upside_1sd_3m_pct,first_hurdle_resistance,first_hurdle_above_pct,upside_pct,reward_risk,capm_3m_pct,capm_reward_risk,value_inr,upside_inr,downside_inr
WELCORP,2832.4,2439.67,13.87,21.29,2836.0,0.13,21.29,1.53,3.28,0.24,940356.8,200202,130427
RPEL,1699.5,1407.76,17.17,26.52,1700.0,0.03,26.52,1.54,3.97,0.23,737583.0,195607,126643
UTLSOLAR,422.1,360.64,14.56,23.72,424.8,0.64,23.72,1.63,2.61,0.18,939594.6,222872,136805
FINCABLES,1460.9,1269.07,13.13,21.82,1498.0,2.54,21.82,1.66,3.22,0.25,888227.2,193856,116624
GREAVESCOT,234.78,208.78,11.07,22.32,235.64,0.37,22.32,2.02,3.91,0.35,770078.4,171881,85248
ACE,1226.6,1063.74,13.28,16.81,1241.5,1.21,16.81,1.27,3.02,0.23,1113752.8,187222,147906
CARBORUNIV,1278.5,1054.96,17.48,17.27,1306.9,2.22,17.27,0.99,2.74,0.16,1281057.0,221239,223929
GOODLUCK,525.65,464.94,11.55,21.9,528.8,0.6,21.9,1.9,3.69,0.32,899912.8,197081,103940
BEML,2036.5,1821.61,10.55,19.59,2037.1,0.03,19.59,1.86,4.02,0.38,834965.0,163570,88089
ACMESOLAR,442.9,377.99,14.66,19.09,464.45,4.87,19.09,1.3,1.89,0.13,1287953.2,245870,188814
PORTFOLIO (all stocks at once),,,13.91,,,,20.63,1.48,3.14,0.23,9693480.799999999,1999400,1348425
PORTFOLIO (diversified),,,13.91,11.7,,,11.7,0.84,3.14,0.23,9693480.799999999,1133653,1348425
