name,group,date,rs,momentum,quadrant
WELCORP,Holding,2026-07-31,26.880,-28.750,WEAKENING
WELCORP,Holding,2026-08-07,39.830,-6.770,WEAKENING
WELCORP,Holding,2026-08-14,38.390,3.290,LEADING
WELCORP,Holding,2026-08-21,77.090,14.530,LEADING
WELCORP,Holding,2026-08-28,67.450,38.010,LEADING
WELCORP,Holding,2026-09-04,87.510,28.030,LEADING
WELCORP,Holding,2026-09-11,94.110,15.800,LEADING
WELCORP,Holding,2026-09-18,88.200,7.850,LEADING
WELCORP,Holding,2026-09-25,89.200,6.890,LEADING
TDPOWERSYS,Holding,2026-07-31,-5.310,-24.540,LAGGING
TDPOWERSYS,Holding,2026-08-07,0.810,-12.630,WEAKENING
TDPOWERSYS,Holding,2026-08-14,8.490,15.860,LEADING
TDPOWERSYS,Holding,2026-08-21,14.640,20.190,LEADING
TDPOWERSYS,Holding,2026-08-28,17.460,0.170,LEADING
TDPOWERSYS,Holding,2026-09-04,15.880,-3.280,WEAKENING
TDPOWERSYS,Holding,2026-09-11,34.640,16.530,LEADING
TDPOWERSYS,Holding,2026-09-18,21.330,9.350,LEADING
TDPOWERSYS,Holding,2026-09-25,23.630,-4.850,WEAKENING
APARINDS,Holding,2026-07-31,12.930,-7.970,WEAKENING
APARINDS,Holding,2026-08-07,27.250,5.390,LEADING
APARINDS,Holding,2026-08-14,27.220,16.840,LEADING
APARINDS,Holding,2026-08-21,27.990,8.510,LEADING
APARINDS,Holding,2026-08-28,34.210,1.250,LEADING
APARINDS,Holding,2026-09-04,26.350,-4.960,WEAKENING
APARINDS,Holding,2026-09-11,9.580,-13.850,WEAKENING
APARINDS,Holding,2026-09-18,17.150,-15.340,WEAKENING
APARINDS,Holding,2026-09-25,12.920,-7.800,WEAKENING
QPOWER,Holding,2026-07-31,-21.300,-35.100,LAGGING
QPOWER,Holding,2026-08-07,-13.770,-1.140,LAGGING
QPOWER,Holding,2026-08-14,8.990,24.110,LEADING
QPOWER,Holding,2026-08-21,12.270,32.260,LEADING
QPOWER,Holding,2026-08-28,31.770,20.070,LEADING
QPOWER,Holding,2026-09-04,27.970,15.950,LEADING
QPOWER,Holding,2026-09-11,11.370,0.990,LEADING
QPOWER,Holding,2026-09-18,17.630,-20.150,WEAKENING
QPOWER,Holding,2026-09-25,27.430,-4.960,WEAKENING
FINCABLES,Holding,2026-07-31,-3.720,-19.430,LAGGING
FINCABLES,Holding,2026-08-07,-12.800,-12.260,LAGGING
FINCABLES,Holding,2026-08-14,13.920,10.390,LEADING
FINCABLES,Holding,2026-08-21,18.360,29.810,LEADING
FINCABLES,Holding,2026-08-28,26.280,7.990,LEADING
FINCABLES,Holding,2026-09-04,14.800,-3.930,WEAKENING
FINCABLES,Holding,2026-09-11,36.490,13.990,LEADING
FINCABLES,Holding,2026-09-18,22.520,7.330,LEADING
FINCABLES,Holding,2026-09-25,25.610,3.100,LEADING
CARBORUNIV,Holding,2026-07-31,8.350,-8.720,WEAKENING
CARBORUNIV,Holding,2026-08-07,4.160,-6.990,WEAKENING
CARBORUNIV,Holding,2026-08-14,-0.260,-3.090,LAGGING
CARBORUNIV,Holding,2026-08-21,6.810,-4.620,WEAKENING
CARBORUNIV,Holding,2026-08-28,3.500,-2.260,WEAKENING
CARBORUNIV,Holding,2026-09-04,2.340,1.130,LEADING
CARBORUNIV,Holding,2026-09-11,0.980,-0.510,WEAKENING
CARBORUNIV,Holding,2026-09-18,-8.130,-6.540,LAGGING
CARBORUNIV,Holding,2026-09-25,8.990,3.530,LEADING
BEML,Holding,2026-07-31,-6.510,-12.470,LAGGING
BEML,Holding,2026-08-07,-10.940,-9.540,LAGGING
BEML,Holding,2026-08-14,0.110,3.510,LEADING
BEML,Holding,2026-08-21,1.860,15.800,LEADING
BEML,Holding,2026-08-28,10.530,6.810,LEADING
BEML,Holding,2026-09-04,13.300,8.800,LEADING
BEML,Holding,2026-09-11,13.860,9.880,LEADING
BEML,Holding,2026-09-18,23.360,4.160,LEADING
BEML,Holding,2026-09-25,20.870,5.750,LEADING
VOLTAMP,Holding,2026-07-31,-18.920,-15.580,LAGGING
VOLTAMP,Holding,2026-08-07,1.930,6.340,LEADING
VOLTAMP,Holding,2026-08-14,2.010,22.320,LEADING
VOLTAMP,Holding,2026-08-21,15.120,13.480,LEADING
VOLTAMP,Holding,2026-08-28,15.560,13.950,LEADING
VOLTAMP,Holding,2026-09-04,13.900,4.300,LEADING
VOLTAMP,Holding,2026-09-11,13.490,-5.110,WEAKENING
VOLTAMP,Holding,2026-09-18,7.580,-3.040,WEAKENING
VOLTAMP,Holding,2026-09-25,7.960,-6.490,WEAKENING
USHAMART,Holding,2026-07-31,6.350,-1.190,WEAKENING
USHAMART,Holding,2026-08-07,6.340,-5.050,WEAKENING
USHAMART,Holding,2026-08-14,-1.550,-7.060,LAGGING
USHAMART,Holding,2026-08-21,-0.530,-4.440,LAGGING
USHAMART,Holding,2026-08-28,-4.510,-5.020,LAGGING
USHAMART,Holding,2026-09-04,-0.750,-5.290,LAGGING
USHAMART,Holding,2026-09-11,0.020,3.100,LEADING
USHAMART,Holding,2026-09-18,7.860,5.910,LEADING
USHAMART,Holding,2026-09-25,8.840,13.430,LEADING
ACMESOLAR,Holding,2026-07-31,16.300,-18.190,WEAKENING
ACMESOLAR,Holding,2026-08-07,27.760,3.310,LEADING
ACMESOLAR,Holding,2026-08-14,30.820,9.910,LEADING
ACMESOLAR,Holding,2026-08-21,34.510,6.870,LEADING
ACMESOLAR,Holding,2026-08-28,23.300,0.690,LEADING
ACMESOLAR,Holding,2026-09-04,13.790,-17.540,WEAKENING
ACMESOLAR,Holding,2026-09-11,15.960,-10.210,WEAKENING
ACMESOLAR,Holding,2026-09-18,30.220,9.580,LEADING
ACMESOLAR,Holding,2026-09-25,18.510,11.310,LEADING
NUVOCO,Holding,2026-07-31,12.740,7.820,LEADING
NUVOCO,Holding,2026-08-07,2.290,-6.810,WEAKENING
NUVOCO,Holding,2026-08-14,-3.270,-18.560,LAGGING
NUVOCO,Holding,2026-08-21,-3.520,-11.700,LAGGING
NUVOCO,Holding,2026-08-28,-9.850,-5.110,LAGGING
NUVOCO,Holding,2026-09-04,8.450,1.520,LEADING
NUVOCO,Holding,2026-09-11,5.350,12.690,LEADING
NUVOCO,Holding,2026-09-18,6.380,8.950,LEADING
NUVOCO,Holding,2026-09-25,12.010,3.970,LEADING
