selection_rank,symbol,company_name,sector,held,rs_6m_skip1m,rs_score_vs_nifty500,di_gap,latest_adx,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,soft_fundamental_fails,business_focus_note
1,WELCORP,Welspun Corp Ltd.,Capital Goods,True,185.19,89.2,13.87,42.51,LEADING,LEADING,,
2,TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,True,63.57,23.63,10.58,28.54,WEAKENING,WEAKENING,,
3,APARINDS,Apar Industries Ltd.,Capital Goods,True,60.01,12.92,5.74,28.73,WEAKENING,WEAKENING,,
4,ACMESOLAR,ACME Solar Holdings Ltd.,Power,True,52.67,18.51,15.36,33.11,LEADING,LEADING,,
5,QPOWER,Quality Power Electrical Equipments Ltd.,Capital Goods,True,48.93,27.43,3.99,23.15,WEAKENING,WEAKENING,,"THEME ADDITION (not in an official Nifty sector index). Focused electrical-equipment maker for power grids and transmission (reactors, transformers and related grid components), the same line of business as VOLTAMP. Small company, listed in 2025; verify the export share and any acquisitions in the annual report."
6,FINCABLES,Finolex Cables Ltd.,Capital Goods,True,45.07,25.61,18.69,44.3,LEADING,LEADING,,
7,CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,True,32.35,8.99,30.95,29.12,LEADING,LEADING,,
8,BEML,BEML Ltd.,Capital Goods,True,24.49,20.87,2.72,25.75,LEADING,LEADING,ROCE > 8%; OPM > 8%,
9,VOLTAMP,Voltamp Transformers Ltd,Capital Goods,True,18.25,7.96,2.41,23.25,WEAKENING,WEAKENING,,
10,USHAMART,Usha Martin Ltd.,Capital Goods,True,14.08,8.84,8.56,16.72,LEADING,LEADING,,
11,PTCIL,PTC Industries Ltd.,Capital Goods,False,9.49,28.58,6.19,41.86,LEADING,LEADING,Cash from operations last year > 0 (Rs Cr),
12,ENRIN,Siemens Energy India Ltd.,Capital Goods,False,9.35,-5.83,3.92,14.94,IMPROVING,IMPROVING,,
13,KAYNES,Kaynes Technology India Ltd.,Capital Goods,False,4.24,17.57,2.69,17.48,WEAKENING,LEADING,Cash from operations last year > 0 (Rs Cr),
14,NUVOCO,Nuvoco Vistas Corporation Ltd.,Cement,False,0.97,12.01,5.52,14.91,LEADING,LEADING,ROCE > 8%,
15,APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,False,-0.01,25.62,5.61,28.58,LEADING,LEADING,OPM > 8%,
16,HBLENGINE,HBL Engineering Ltd.,Capital Goods,False,-4.69,3.39,23.36,30.56,LEADING,LEADING,,
17,NAVA,Nava Ltd.,Power,False,-9.69,-6.24,7.87,16.4,LAGGING,WEAKENING,,
18,NHPC,NHPC Ltd.,Power,False,-12.73,-5.1,2.7,11.85,LAGGING,WEAKENING,ROCE > 6%,
19,TIMKEN,Timken India Ltd.,Capital Goods,False,-13.81,-6.43,2.39,14.09,IMPROVING,IMPROVING,,
20,SUPREMEIND,Supreme Industries Ltd.,Capital Goods,False,-18.45,12.87,3.9,15.85,LEADING,LEADING,,
21,NTPCGREEN,NTPC Green Energy Ltd.,Power,False,-19.8,0.67,12.74,24.09,LEADING,LEADING,ROCE > 6%,
22,TATAPOWER,Tata Power Co. Ltd.,Power,False,-19.94,-3.19,8.42,22.8,IMPROVING,LEADING,,
23,PRSMJOHNSN,Prism Johnson Ltd.,Cement,False,-24.18,0.67,17.52,41.72,LEADING,LEADING,ROCE > 8%; OPM > 10%,
24,POWERGRID,Power Grid Corporation of India Ltd.,Power,False,-26.22,-4.13,8.0,13.86,IMPROVING,LEADING,,
