symbol,sector,in_locked_portfolio,sessions_before,sessions_after,latest_rsi_before,latest_rsi_after,latest_adx_before,latest_adx_after,trend_direction_before,trend_direction_after,rs_score_vs_nifty500_before,rs_score_vs_nifty500_after,trend_direction_flipped,rs_sign_flipped,decision_relevant_change
JKCEMENT,Cement,True,187,248,52.07,55.17,31.0,31.53,Bearish (Downtrend),Bullish (Uptrend),-9.71,-7.53,True,False,True
ULTRACEMCO,Cement,True,187,248,42.38,44.65,21.78,22.29,Bearish (Downtrend),Bearish (Downtrend),-5.63,-1.01,False,False,False
STARCEMENT,Cement,True,187,248,41.12,41.97,23.24,25.01,Bearish (Downtrend),Bearish (Downtrend),-12.94,-9.72,False,False,False
ABB,Capital Goods/EPC,False,187,248,41.65,40.95,16.67,22.59,Bearish (Downtrend),Bearish (Downtrend),7.85,-0.21,False,True,True
CGPOWER,Capital Goods/EPC,False,187,248,48.88,49.04,13.77,14.36,Bullish (Uptrend),Bearish (Downtrend),2.2,-5.51,True,True,True
GVT&D,Capital Goods/EPC,False,187,248,46.19,46.21,12.8,11.34,Bearish (Downtrend),Bullish (Uptrend),-10.41,-17.93,True,False,True
POWERINDIA,Capital Goods/EPC,False,187,248,41.8,41.32,20.64,17.91,Bearish (Downtrend),Bearish (Downtrend),-8.87,-13.36,False,False,False
TRITURBINE,Capital Goods/EPC,False,187,248,40.76,42.53,13.03,15.78,Bearish (Downtrend),Bearish (Downtrend),-20.52,-21.35,False,False,False
TDPOWERSYS,Capital Goods/EPC,False,187,248,37.63,38.43,32.25,29.32,Bearish (Downtrend),Bearish (Downtrend),-41.86,-43.14,False,False,False
SIEMENS,Capital Goods/EPC,False,187,248,45.47,44.96,20.43,17.03,Bearish (Downtrend),Bearish (Downtrend),1.85,5.76,False,False,False
BHEL,Capital Goods/EPC,True,190,248,47.54,45.66,19.37,20.61,Bullish (Uptrend),Bullish (Uptrend),6.84,6.14,False,False,False
INOXWIND,Capital Goods/EPC,False,187,248,43.58,43.38,17.65,15.06,Bearish (Downtrend),Bearish (Downtrend),-19.4,-16.92,False,False,False
ENRIN,Capital Goods/EPC,False,187,248,46.82,48.54,15.88,15.41,Bearish (Downtrend),Bullish (Uptrend),-8.83,-14.94,True,False,True
SUZLON,Capital Goods/EPC,False,187,248,24.69,23.85,36.0,38.36,Bearish (Downtrend),Bearish (Downtrend),-20.58,-26.95,False,False,False
THERMAX,Capital Goods/EPC,False,187,248,22.25,23.28,47.0,52.26,Bearish (Downtrend),Bearish (Downtrend),-21.1,-27.48,False,False,False
VOLTAMP,Capital Goods/EPC,True,190,248,49.15,47.56,30.5,24.58,Bullish (Uptrend),Bullish (Uptrend),18.27,2.48,False,False,False
ADANIENSOL,Power,False,187,248,36.23,35.46,28.41,27.3,Bearish (Downtrend),Bearish (Downtrend),4.15,-7.28,False,True,True
ADANIPOWER,Power,False,187,248,41.85,40.11,10.44,12.18,Bearish (Downtrend),Bearish (Downtrend),-6.64,-11.16,False,False,False
CESC,Power,False,187,248,28.15,29.8,23.45,18.18,Bearish (Downtrend),Bearish (Downtrend),-20.97,-16.37,False,False,False
KPIGREEN,Power,False,187,248,56.24,57.66,50.67,51.78,Bullish (Uptrend),Bullish (Uptrend),-34.19,-12.65,False,False,False
NAVA,Power,False,187,248,46.18,48.93,10.96,15.97,Bullish (Uptrend),Bullish (Uptrend),-8.51,-9.0,False,False,False
NLCINDIA,Power,False,187,248,39.46,40.57,27.71,21.72,Bearish (Downtrend),Bearish (Downtrend),-22.84,-18.03,False,False,False
NTPC,Power,True,190,248,38.04,40.62,31.89,27.13,Bearish (Downtrend),Bearish (Downtrend),-17.56,-10.26,False,False,False
POWERGRID,Power,True,190,248,45.07,47.34,10.94,13.21,Bullish (Uptrend),Bullish (Uptrend),-8.99,-7.12,False,False,False
PTC,Power,False,187,248,43.53,45.24,23.39,21.54,Bearish (Downtrend),Bearish (Downtrend),-20.21,-15.43,False,False,False
TATAPOWER,Power,True,190,248,44.77,45.31,14.87,22.86,Bullish (Uptrend),Bullish (Uptrend),-9.17,-7.03,False,False,False
TORNTPOWER,Power,False,187,248,38.0,39.79,22.56,20.45,Bearish (Downtrend),Bearish (Downtrend),-16.83,-13.1,False,False,False
