sector,symbol,company_name,fundamentals_passed_count,criteria_total,fundamentals_clean,fundamentals_failed,technically_attractive,rs_score_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,recent_spike_flag,trend_direction,latest_adx,latest_rsi,rs_score_vs_sector_avg,sector_rank,sector_size,next_results_date,results_date_status,results_within_30_days,prior_year_sep_qtr_results_date,clean_candidate,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,plus_di,minus_di,nearest_support,nearest_resistance,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_6m_skip1m,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate,interest_coverage,pass_interest_coverage
Capital Goods,SUPREMEIND,Supreme Industries Ltd.,6,6,True,,True,12.87,2.66,20.7,False,Bullish (Uptrend),15.85,53.7,11.15,11,54,,not announced,,2025-10-27,True,Nifty Capital Goods,,45095.0,True,20.7,True,14.41,True,1225.0,True,0.01,True,0.0,True,OK,2026-09-26,30-Jun-2026,3550.0,24.82,20.92,3547.2,3568.0,247,-2.13,4.66,-18.45,7.43,LEADING,LEADING,3.9,False,False,True,,True,True,,
Capital Goods,HAL,Hindustan Aeronautics Ltd.,6,6,True,,False,12.25,-1.51,-12.3,False,Bearish (Downtrend),14.31,48.11,10.53,12,54,,not announced,,2025-11-12,False,Nifty Capital Goods,,321012.0,True,32.0,True,29.64,True,10906.0,True,0.0,True,0.0,True,OK,2026-09-26,,4800.0,22.82,27.29,4707.0,4808.6,247,13.59,-3.25,19.86,-0.48,WEAKENING,WEAKENING,-4.47,False,False,True,,False,False,,
Capital Goods,TMCV,Tata Motors Ltd.,6,6,True,,True,6.07,2.03,33.4,False,Bullish (Uptrend),17.41,46.96,4.35,17,54,2026-10-23,announced,True,2025-11-13,True,Nifty Capital Goods,,162595.0,True,59.9,True,12.54,True,11312.0,True,0.25,True,0.0,True,OK,2026-09-26,,441.5,20.09,19.04,437.5,446.8,217,19.35,-11.05,8.63,-8.29,WEAKENING,WEAKENING,1.05,True,False,True,,False,False,,
Capital Goods,ASTRAL,Astral Ltd.,6,6,True,,False,3.99,-2.59,-64.9,False,Bearish (Downtrend),21.86,39.65,2.27,18,54,,not announced,,2025-11-05,False,Nifty Capital Goods,,37584.0,True,19.2,True,16.33,True,1117.0,True,0.06,True,0.0,True,OK,2026-09-26,30-Jun-2026,1399.0,16.82,25.65,1397.0,1415.2,247,-5.02,0.0,-15.95,2.77,WEAKENING,LEADING,-8.83,False,False,True,,False,False,,
Capital Goods,HBLENGINE,HBL Engineering Ltd.,6,6,True,,True,3.39,13.32,392.9,True,Bullish (Uptrend),30.56,71.79,1.66,19,54,,not announced,,2025-11-08,False,Nifty Capital Goods,,22342.0,True,59.3,True,31.99,True,738.0,True,0.03,True,0.0,True,OK,2026-09-26,30-Jun-2026,806.0,38.14,14.78,798.85,810.3,247,-9.77,5.99,-4.69,8.76,LEADING,LEADING,23.36,False,False,True,,True,True,,
Capital Goods,BHEL,Bharat Heavy Electricals Ltd.,6,6,True,,False,2.98,-0.94,-31.5,False,Bearish (Downtrend),19.37,47.68,1.26,20,54,,not announced,,2025-10-29,False,Nifty Capital Goods,,145881.0,True,9.14,True,9.4,True,5837.0,True,0.31,True,0.0,True,OK,2026-09-26,30-Jun-2026,418.95,21.07,22.48,408.15,420.95,247,8.5,-2.72,50.32,0.04,WEAKENING,LEADING,-1.41,True,False,True,,False,False,,
Capital Goods,RRKABEL,R R Kabel Ltd.,6,6,True,,False,2.76,5.27,190.9,True,Bearish (Downtrend),32.43,48.72,1.04,22,54,,not announced,,2025-10-31,False,Theme addition,"THEME ADDITION (not in an official Nifty sector index). Wires and cables make up most of revenue, with a smaller consumer-electricals segment (fans, lighting, switches); the same core business as FINCABLES, KEI and POLYCAB in the Nifty Capital Goods index. Verify the segment split.",28596.0,True,28.1,True,8.54,True,295.0,True,0.13,True,0.0,True,OK,2026-09-26,,2528.3,16.85,19.21,2516.5,2549.0,247,8.99,-5.22,99.55,-2.46,WEAKENING,WEAKENING,-2.36,False,False,True,,False,False,,
Capital Goods,ELGIEQUIP,Elgi Equipments Ltd.,6,6,True,,False,0.85,-1.47,-172.9,False,Bearish (Downtrend),12.74,45.94,-0.87,23,54,,not announced,,2025-11-12,False,Nifty Capital Goods,,19110.0,True,22.1,True,14.76,True,454.0,True,0.24,True,0.87,True,OK,2026-09-26,30-Jun-2026,603.0,18.76,21.05,596.0,607.0,247,1.83,-0.57,15.71,2.2,WEAKENING,IMPROVING,-2.29,False,False,True,,False,False,,
Capital Goods,ABB,ABB India Ltd.,6,6,True,,False,0.66,-2.25,-340.9,False,Bearish (Downtrend),22.21,37.96,-1.06,24,54,2026-11-13,announced,False,2025-11-06,False,Nifty Capital Goods,,149448.0,True,29.9,True,13.97,True,1220.0,True,0.02,True,0.0,True,OK,2026-09-26,30-Jun-2026,7052.5,17.19,24.43,7005.0,7083.0,247,4.62,-2.54,11.94,0.22,WEAKENING,IMPROVING,-7.24,False,False,True,,False,False,,
Capital Goods,DATAPATTNS,Data Patterns (India) Ltd.,6,6,True,,False,0.53,-5.98,-1128.3,False,Bearish (Downtrend),12.59,44.77,-1.19,25,54,,not announced,,2025-11-12,False,Nifty Capital Goods,,24738.0,True,21.9,True,39.64,True,80.0,True,0.0,True,0.0,True,OK,2026-09-26,,4418.8,20.74,26.36,4399.9,4620.0,247,5.65,-8.59,41.54,-5.83,WEAKENING,LAGGING,-5.62,False,False,True,,False,False,,
Capital Goods,ESCORTS,Escorts Kubota Ltd.,6,6,True,,False,0.29,-1.95,-672.4,False,Bearish (Downtrend),23.91,41.56,-1.43,26,54,,not announced,,2025-11-04,False,Nifty Capital Goods,,31949.0,True,13.9,True,12.48,True,1381.0,True,0.01,True,0.0,True,OK,2026-09-26,30-Jun-2026,2855.7,15.61,23.64,2853.8,2983.4,247,4.24,-6.72,-7.2,-3.96,WEAKENING,LAGGING,-8.03,False,False,True,,False,False,,
Cement,ULTRACEMCO,UltraTech Cement Ltd.,6,6,True,,False,0.13,3.12,2400.0,True,Bearish (Downtrend),21.33,48.12,4.94,5,16,2026-10-19,announced,True,2025-10-18,False,Nifty Cement,,328715.0,True,12.7,True,19.17,True,15316.0,True,0.31,True,0.0,True,OK,2026-09-26,30-Jun-2026,11155.0,17.23,20.6,11074.0,11674.0,247,-1.77,0.68,-0.93,0.28,LEADING,LEADING,-3.37,False,False,True,,False,False,,
Capital Goods,BEL,Bharat Electronics Ltd.,6,6,True,,False,-2.66,-1.31,,False,Bearish (Downtrend),13.8,43.21,-4.39,28,54,,not announced,,2025-10-31,False,Nifty Capital Goods,,287676.0,True,36.4,True,28.55,True,1541.0,True,0.0,True,0.0,True,OK,2026-09-26,30-Jun-2026,393.55,16.52,26.47,389.55,410.7,247,-4.08,0.56,-13.66,3.32,IMPROVING,IMPROVING,-9.95,False,False,True,,False,False,,
Cement,JKCEMENT,J.K. Cement Ltd.,6,6,True,,False,-4.28,3.24,,False,Bullish (Uptrend),29.38,44.96,0.53,6,16,,not announced,,2025-11-01,False,Nifty Cement,,38634.0,True,15.1,True,16.21,True,1873.0,True,0.88,True,0.0,True,OK,2026-09-26,30-Jun-2026,5000.0,17.66,17.17,4999.0,5244.5,247,0.92,-6.47,-5.84,-6.86,LAGGING,WEAKENING,0.49,True,False,True,,False,False,,
Capital Goods,ASTRAMICRO,Astra Microwave Products Ltd.,6,6,True,,False,-4.35,-2.86,,False,Bearish (Downtrend),16.5,44.8,-6.07,29,54,,not announced,,2025-11-13,False,Nifty Capital Goods,,15404.0,True,20.3,True,28.51,True,387.0,True,0.22,True,0.0,True,OK,2026-09-26,30-Jun-2026,1622.4,16.96,21.19,1610.0,1694.0,247,17.05,-19.99,76.37,-17.22,LAGGING,LAGGING,-4.23,False,False,True,,False,False,,
Capital Goods,TITAGARH,Titagarh Rail Systems Ltd.,6,6,True,,False,-4.62,-2.74,,False,Bearish (Downtrend),12.98,44.89,-6.35,30,54,,not announced,,2025-11-13,False,Nifty Capital Goods,,11078.0,True,10.9,True,10.73,True,322.0,True,0.25,True,0.06,True,OK,2026-09-26,30-Jun-2026,822.6,16.43,23.32,821.0,848.0,247,0.9,-7.27,24.71,-4.51,LAGGING,LAGGING,-6.89,False,False,True,,False,False,,
Capital Goods,LT,Larsen & Toubro Ltd.,6,6,True,,False,-5.21,-0.47,,False,Bearish (Downtrend),14.39,43.79,-6.94,31,54,,not announced,,2025-10-29,False,Nifty Infrastructure,"CONGLOMERATE CONCERN - manual review. NSE industry: Construction. Core business is EPC (infrastructure and energy projects, hi-tech manufacturing), but consolidated revenue also includes IT & technology services (listed subsidiaries LTIMindtree, L&T Technology Services) and financial services (L&T Finance). Verify the latest segment split in the annual report.",533324.0,True,14.6,True,12.5,True,16741.0,True,1.15,True,0.0,True,OK,2026-09-26,30-Jun-2026,3876.2,14.01,17.77,3867.8,3885.9,247,-2.58,-3.09,6.8,-0.33,LAGGING,LAGGING,-3.76,False,False,True,,False,False,,
