symbol,rs_21,rs_63,rs_126,rs_189,rs_252,rs_126_skip21,burst_share,dist_20d_high,high_52w,vol_63,rs_126_per_vol,above_ma200,deliv_trend,turnover_trend,sector_rs_126,rs_126_vs_sector,adx,di_gap,rsi,fwd_rs,composite,date,sector,period,burst,strong_trend,overbought,near_high
ABB,4.874555862175223,27.034723680834727,3.5216843579838564,-32.879149443722056,-14.945442747725313,-2.253597148749509,-3.2501482682952596,-0.873563218390816,0.9512791875021209,41.44532279212255,160.47055052073716,39.89217736539099,1.0536507936507888,1.3642390823805484,11.573872161073345,-8.052187803089488,50.419883586507765,22.584516513352334,72.8837968178484,1.355843456846273,0.6334368530020704,2021-01-05,Capital Goods,IS 2021-23,False,True,True,True
ACC,-8.418335879272721,-7.187762400740172,-7.033562926542758,-2.3964062190670266,2.098984574647411,3.45222446363298,,-3.2176470588235584,0.9217366946778709,27.635702213338792,-396.8270079537053,19.57939280097387,-0.3537301587301549,1.1213281769479149,-0.24757163362459922,-6.785991292918158,20.127134388041668,6.860197489141868,52.52515877183818,13.85983902135628,0.47515527950310554,2021-01-05,Cement,IS 2021-23,False,False,False,False
ADANIGREEN,-10.126357648837192,19.857348249854077,126.9892651691724,529.3983090855986,505.0318911893372,143.78934190693374,0.714943950881117,-2.372896447333228,0.8987295081967215,44.936836888049314,3865.4871366607676,101.33438746733576,2.0520634920635032,0.5148566708476993,-1.2610953641613798,128.25036053333378,19.505460305889,9.198798320372966,63.73169769404588,-0.28564447831349593,0.6885093167701863,2021-01-05,Power,IS 2021-23,False,False,False,False
ADANIPOWER,-23.621755900217288,10.381432171086779,4.618372202580812,10.526803227504168,-40.04534351187766,40.596577645266365,32.22237925939626,-13.9152981849611,0.7649674824824603,63.353950164069836,149.35581409213287,34.01896707438459,3.910714285714292,2.37490221247541,-1.2610953641613798,5.879467566742191,30.395170050964914,12.750362909161353,58.71257164528693,88.99908804931633,0.36511387163561076,2021-01-05,Power,IS 2021-23,False,True,False,False
AIAENG,-7.987481381069239,-14.533978868921249,-12.36365457510258,-24.80191748323557,-0.5186464594539864,-2.4751522483488886,,-3.4740882917466354,0.9209568501774064,37.911588452251,-539.7414035226834,16.305172457782334,7.798809523809538,1.5125164942154048,11.573872161073345,-23.937526736175922,26.3125518329855,5.942626629958774,54.82713257353182,-9.287556241108375,0.42505175983436855,2021-01-05,Capital Goods,IS 2021-23,False,True,False,False
AMBUJACEM,-6.525466907008415,-9.386669621647648,-2.0767249889222628,-12.559763277266756,15.405211567961974,5.979092116705287,,-2.5680337293982336,0.934558823529412,30.633588887054376,-102.812623386401,19.8553550956162,2.5361904761904768,1.4244759986784425,-0.24757163362459922,-1.8291533552976635,17.470752397847857,8.57695294394373,55.11323954567668,19.616601375635078,0.5399585921325052,2021-01-05,Cement,IS 2021-23,False,False,False,False
APARINDS,-8.147795128145031,-5.181063340807723,-29.841622237773645,-54.343747692189325,-27.676523685625565,-19.927327989819197,,-10.853582554517082,0.759406586986973,30.549834046525064,-1439.4563818034896,12.650339036990799,-0.4061904761904884,1.2660118111460505,11.573872161073345,-41.41549439884699,31.48925011247357,4.407447941896844,55.40394366016095,26.04186356850238,0.1150103519668737,2021-01-05,Capital Goods,IS 2021-23,False,True,False,False
APLAPOLLO,11.390198899564252,28.03057157908375,118.9796885234786,182.47015155436856,112.50551012062463,88.42958715828226,48.92804754249023,-1.9565217391304346,0.9804347826086957,37.61139541110186,4714.592433248243,91.30388169627975,3.474285714285706,1.4670181642945939,11.573872161073345,107.40581636240525,31.808557959740682,16.134076850540364,70.16020280234001,37.72285913570872,0.8987577639751553,2021-01-05,Capital Goods,IS 2021-23,False,True,True,True
ASHOKLEY,3.316977710634239,14.408154138715922,67.21652628670986,78.7546868489508,17.158198621328967,57.10787804912285,41.099789510087135,-0.9456264775413614,0.9905437352245864,38.23408746277469,2178.5949367090993,60.18309056295574,5.603253968253966,0.8440619275056497,11.573872161073345,55.64265412563651,23.74030955681991,16.097615570111472,71.71923137748668,10.600529615102182,0.9640786749482402,2021-01-05,Capital Goods,IS 2021-23,False,False,True,True
ASTRAL,9.988848157631057,23.664967668121626,47.589584429221546,10.986296549371065,41.182953701216874,30.041020989193036,49.32118648842319,-2.978142076502721,0.9702185792349728,48.731700200929794,1505.4091074016728,60.05147015599213,-2.6195238095238054,1.6459783408193487,11.573872161073345,36.0157122681482,55.74976296480353,33.776177580275416,72.91059270510272,13.172696026706078,0.8267080745341615,2021-01-05,Capital Goods,IS 2021-23,False,True,True,False
ASTRAMICRO,-0.12997060832087293,-13.920651084727997,-20.842313697819815,51.433583394625536,38.42905961206169,-19.319299373177046,,-6.491097922848721,0.9183510940305896,34.89970345154137,-818.4115140297116,24.337853888992388,-0.8679365079365056,0.9254574335526914,11.573872161073345,-32.41618585889316,28.067777887816032,16.6888712435195,60.157097611193166,-7.138576452403322,0.33198757763975156,2021-01-05,Capital Goods,IS 2021-23,False,True,False,False
BDL,-0.2197204250304008,-20.21271427449822,-51.574806262134956,11.368693170011523,-1.314349382926805,-47.96436224513441,,-3.0758426966292496,0.7094874239438833,31.613078615433405,-1742.2944361906377,11.794883543835443,11.23730158730158,0.5026972577537437,11.573872161073345,-63.1486784232083,21.07120451721125,1.2593798271623307,60.841208162948874,-7.452680479661112,0.02888198757763975,2021-01-05,Capital Goods,IS 2021-23,False,False,False,False
BEL,6.428108567001156,13.184893458111247,-3.964148460801442,16.621003652205026,21.262087647501502,-10.508388417453052,76.91856597603922,-1.3133208255159512,0.9868667917448405,37.171722800284435,-157.4370304865248,43.34360771693757,-1.0106349206349243,1.7609553109684313,11.573872161073345,-15.538020621874788,32.41573687744629,25.116924377216904,75.80855169660636,-7.685902864910965,0.6777432712215321,2021-01-05,Capital Goods,IS 2021-23,True,True,True,True
